bin_no,house_no,street_name,job_no,zip_code,job_start_date,latitude,longitude,subway_count_tenth_mi,subway_count_half_mi,subway_count_one_mi,subway_count_two_five_mi,hist_dist_name,park_count_tenth_mi,park_count_half_mi,park_count_one_mi,park_count_two_five_mi,closest_park,name_closest_park,complaints2014_15,complaints2015_16,complaints2016_17,complaints2017_18,complaints2018_19,complaints2019_20,total_complaints,borough_BROOKLYN,borough_MANHATTAN,borough_QUEENS,borough_STATEN ISLAND,owners_business_type_CORPORATION,owners_business_type_HPD,owners_business_type_INDIVIDUAL,owners_business_type_NYC AGENCY,owners_business_type_NYCHA/HHC,owners_business_type_OTHER,owners_business_type_OTHER GOV'T AGENCY,owners_business_type_PARTNERSHIP,non-profit_Y,in_hist_dist_1
2120778,385,E 198 STREET,220718016,10458,2021-09-28,40.866381,-73.886264,0,8,31,130,none,0,7,44,256,0.1513859946137234,Bronx Park,108,117,106,131,104,110,676,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016457,2997,MARION AVENUE,220676757,10458,2021-09-28,40.870006,-73.882617,0,10,28,127,none,1,8,33,231,0.0420713425213086,Mosholu Parkway,95,90,100,93,95,85,558,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3428577,166,BAY 53 STREET,321963906,11214,2021-11-09,40.582807,-73.987864,0,4,15,70,none,2,9,32,65,0.0499785752793724,Coney Island Boat Basin,93,99,145,97,108,115,657,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4619385,218-36,133RD ROAD,421691271,11413,2021-09-29,40.679941,-73.750003,0,0,0,0,none,0,3,13,55,0.3127906112561233,225 Street Malls,34,32,26,36,45,36,209,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3174612,1545,WEST 3RD ST,320911251,11204,2021-10-14,40.609762,-73.977094,0,10,22,131,none,1,7,18,113,0.0718134154541248,Samuel Goldberg Triangle,34,21,20,21,22,17,135,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4096930,11-17,123 ST,421745204,11356,2021-09-29,40.787524,-73.844679,0,0,0,14,none,1,8,12,92,0.0600020794278548,Poppenhusen Park,18,43,18,33,23,25,160,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2017303,33,BEDFORD PARK BLVD,220642115,10468,2021-09-29,40.87265,-73.888477,4,8,29,125,none,0,7,38,225,0.2067425185287282,Harris Park,120,128,139,115,106,113,721,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3428524,15,MONTIETH STREET,321385862,11206,2021-09-30,40.701423,-73.936316,0,9,43,175,none,2,17,67,306,0.0801816732705728,Garden Playground,137,125,135,162,158,187,904,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3429207,389,WEIRFIELD STREET,321598883,11237,2021-09-30,40.695699,-73.90661,2,9,32,143,none,0,8,35,292,0.1749414401216353,Irving Square Park,51,60,55,51,43,54,314,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4619380,14-08,119 STREET,421918875,11356,2021-10-05,40.785528,-73.848638,0,0,0,14,none,0,6,10,102,0.1032818026143687,College Point Park,24,18,24,31,32,28,157,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4618358,89-07,148 STREET,421401673,11435,2021-09-30,40.703975,-73.80749,0,25,39,90,none,1,8,21,95,0.0183476625553322,George Eagle Carr Community Garden,140,132,138,133,108,89,740,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3109337,948,NEW YORK AVE,321599908,11203,2021-10-06,40.650153,-73.9466,0,10,20,129,none,0,3,15,226,0.3029035137575055,Rolph Henry Playground,121,134,133,153,98,134,773,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2800465,2586,BAINBRIDGE AVENUE,240294944,10458,2021-10-01,40.863582,-73.892672,0,18,31,141,none,0,15,57,285,0.1052738119365138,Poe Park,315,280,350,278,322,291,1836,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3429236,375,DEAN STREET,321598348,11217,2021-10-01,40.682925,-73.978634,3,29,97,240,none,0,17,51,356,0.178100801108677,Brooklyn Academy Of Music,116,124,119,135,138,129,761,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4864917,220-21,137TH AVENUE,421306919,11413,2021-10-06,40.67512,-73.75075,0,0,0,0,none,0,4,14,51,0.2015290689192752,225 Street Malls,25,30,39,13,29,25,161,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4120795,40-27,190 ST,440647668,11358,2021-10-04,40.760646,-73.791606,0,0,0,10,none,0,4,15,79,0.305005231265451,Auburndale Playground,8,10,7,4,10,6,45,0,0,1,0,0,0,1,0,0,0,0,0,0,0
