geotype,borough,geoid,bct2020,pop_20,pop_20p,hhpop_20,hhpop_20p,gq_20,gq_20p,instgq_20,instgq_20p,avhhsz_20,popu18_20,popu18_20p,hsp_20,hsp_20p,wnh_20,wnh_20p,bnh_20,bnh_20p,anh_20,anh_20p,onh_20,onh_20p,nh2pl_20,nh2pl_20p,hunits_20,hunits_20p,ochu_20,ochu_20p,vachu_20,vachu_20p
CT2020,Bronx,36005000100,2000100,3772,1.0,27,0.006999999999999999,"3,745",0.993,"3,745",0.993,0.0,12,0.003,"1,259",0.33399999999999996,260,0.069,"2,172",0.5760000000000001,59,0.016,12,0.003,10,0.003,1,1.0,0,0.0,1,1.0
CT2020,Bronx,36005000200,2000200,4779,1.0,"4,771",0.998,8,0.002,0,0.0,3.15,"1,065",0.223,"3,173",0.664,152,0.032,"1,011",0.212,202,0.042,115,0.024,126,0.026000000000000002,1594,1.0,"1,517",0.9520000000000001,77,0.048
CT2020,Bronx,36005000400,2000400,6272,1.0,"6,258",0.998,14,0.002,0,0.0,2.97,"1,337",0.213,"3,972",0.633,238,0.038,"1,592",0.254,230,0.037000000000000005,91,0.015,149,0.024,2200,1.0,"2,110",0.9590000000000001,90,0.040999999999999995
CT2020,Bronx,36005001600,2001600,5795,1.0,"5,565",0.96,230,0.04,205,0.035,2.73,"1,251",0.21600000000000003,"3,479",0.6,121,0.021,"1,884",0.325,122,0.021,81,0.013999999999999999,108,0.019,2129,1.0,"2,042",0.9590000000000001,87,0.040999999999999995
CT2020,Bronx,36005001901,2001901,2292,1.0,"2,258",0.985,34,0.015,0,0.0,2.29,567,0.247,"1,089",0.475,250,0.109,803,0.35,39,0.017,35,0.015,76,0.033,1049,1.0,988,0.9420000000000001,61,0.057999999999999996
CT2020,Bronx,36005001902,2001902,1613,1.0,"1,045",0.648,568,0.35200000000000004,0,0.0,2.16,293,0.182,854,0.529,165,0.102,524,0.325,13,0.008,21,0.013000000000000001,36,0.022000000000000002,523,1.0,484,0.925,39,0.075
CT2020,Bronx,36005001903,2001903,2,1.0,2,1.0,0,0.0,0,0.0,0.67,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0
CT2020,Bronx,36005001904,2001904,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CT2020,Bronx,36005002001,2002001,5007,1.0,"4,855",0.97,152,0.03,0,0.0,2.6,"1,394",0.278,"3,023",0.604,68,0.013999999999999999,"1,755",0.35100000000000003,21,0.004,59,0.012,81,0.016,1895,1.0,"1,864",0.9840000000000001,31,0.016
CT2020,Bronx,36005002002,2002002,4584,1.0,"4,584",1.0,0,0.0,0,0.0,2.94,"1,140",0.249,"3,058",0.667,66,0.013999999999999999,"1,169",0.255,78,0.017,112,0.024,101,0.022000000000000002,1624,1.0,"1,561",0.961,63,0.039
CT2020,Bronx,36005002300,2002300,4742,1.0,"4,735",0.9990000000000001,7,0.001,0,0.0,2.54,"1,265",0.267,"3,045",0.642,67,0.013999999999999999,"1,473",0.311,19,0.004,57,0.012,81,0.017,1901,1.0,"1,867",0.982,34,0.018000000000000002
CT2020,Bronx,36005002400,2002400,6,1.0,6,1.0,0,0.0,0,0.0,3.0,1,0.16699999999999998,3,0.5,1,0.16699999999999998,0,0.0,0,0.0,0,0.0,2,0.33299999999999996,2,1.0,2,1.0,0,0.0
CT2020,Bronx,36005002500,2002500,5442,1.0,"5,342",0.982,100,0.018000000000000002,0,0.0,2.85,"1,491",0.27399999999999997,"4,135",0.76,105,0.019,"1,048",0.193,53,0.01,26,0.005,75,0.013999999999999999,1958,1.0,"1,872",0.956,86,0.044000000000000004
CT2020,Bronx,36005002701,2002701,3080,1.0,"3,038",0.986,42,0.013999999999999999,0,0.0,2.78,910,0.295,"2,063",0.67,35,0.011000000000000001,900,0.292,28,0.009000000000000001,15,0.005,39,0.013000000000000001,1206,1.0,"1,093",0.9059999999999999,113,0.094
CT2020,Bronx,36005002702,2002702,4995,1.0,"4,373",0.875,622,0.125,0,0.0,2.9,"1,571",0.315,"3,318",0.664,94,0.019,"1,398",0.28,55,0.011000000000000001,38,0.008,92,0.018000000000000002,1576,1.0,"1,510",0.958,66,0.042
CT2020,Bronx,36005002800,2002800,5853,1.0,"5,845",0.9990000000000001,8,0.001,0,0.0,2.26,"1,045",0.179,"1,647",0.281,89,0.015,"3,889",0.664,38,0.006,39,0.006999999999999999,151,0.026000000000000002,2629,1.0,"2,581",0.982,48,0.018000000000000002
CT2020,Bronx,36005003100,2003100,2964,1.0,"2,964",1.0,0,0.0,0,0.0,2.73,916,0.309,"1,780",0.601,35,0.012,"1,014",0.342,58,0.02,32,0.011000000000000001,45,0.015,1120,1.0,"1,086",0.97,34,0.03
CT2020,Bronx,36005003300,2003300,3689,1.0,"3,521",0.9540000000000001,168,0.046,0,0.0,2.92,"1,038",0.281,"2,453",0.665,55,0.015,"1,066",0.289,16,0.004,30,0.008,69,0.019,1288,1.0,"1,207",0.937,81,0.063
CT2020,Bronx,36005003500,2003500,3726,1.0,"3,654",0.981,72,0.019,0,0.0,2.85,959,0.257,"2,592",0.696,122,0.033,924,0.248,25,0.006999999999999999,32,0.009000000000000001,31,0.008,1360,1.0,"1,284",0.9440000000000001,76,0.055999999999999994
CT2020,Bronx,36005003700,2003700,340,1.0,306,0.9,34,0.1,0,0.0,2.39,87,0.256,194,0.5710000000000001,5,0.015,123,0.36200000000000004,0,0.0,6,0.018000000000000002,12,0.035,136,1.0,128,0.941,8,0.059000000000000004
CT2020,Bronx,36005003800,2003800,1683,1.0,"1,497",0.889,186,0.111,0,0.0,2.91,521,0.31,"1,082",0.643,18,0.011000000000000001,475,0.282,49,0.028999999999999998,27,0.016,32,0.019,530,1.0,515,0.972,15,0.027999999999999997
CT2020,Bronx,36005003900,2003900,6345,1.0,"6,069",0.9570000000000001,276,0.043,0,0.0,2.97,"1,535",0.242,"5,107",0.805,249,0.039,823,0.13,37,0.006,65,0.01,64,0.01,2159,1.0,"2,041",0.945,118,0.055
CT2020,Bronx,36005004001,2004001,1739,1.0,"1,739",1.0,0,0.0,0,0.0,2.95,380,0.21899999999999997,740,0.426,125,0.07200000000000001,220,0.127,566,0.325,29,0.017,59,0.034,613,1.0,589,0.961,24,0.039
CT2020,Bronx,36005004100,2004100,6146,1.0,"6,109",0.9940000000000001,37,0.006,0,0.0,2.9,"1,698",0.276,"4,083",0.664,94,0.015,"1,819",0.29600000000000004,35,0.006,37,0.006,78,0.013000000000000001,2192,1.0,"2,109",0.9620000000000001,83,0.038
CT2020,Bronx,36005004200,2004200,7201,1.0,"7,168",0.995,33,0.005,0,0.0,2.56,"1,642",0.228,"4,313",0.599,90,0.012,"2,581",0.358,63,0.009000000000000001,47,0.006999999999999999,107,0.015,2843,1.0,"2,798",0.9840000000000001,45,0.016
CT2020,Bronx,36005004300,2004300,5883,1.0,"5,666",0.963,217,0.037000000000000005,0,0.0,2.68,"1,577",0.268,"4,174",0.71,130,0.022000000000000002,"1,409",0.24,43,0.006999999999999999,33,0.006,94,0.016,2198,1.0,"2,118",0.9640000000000001,80,0.036000000000000004
CT2020,Bronx,36005004400,2004400,4642,1.0,"4,467",0.9620000000000001,175,0.038,175,0.038,2.61,"1,138",0.245,"2,809",0.605,88,0.019,"1,437",0.31,180,0.039,54,0.012,74,0.016,1752,1.0,"1,711",0.977,41,0.023
CT2020,Bronx,36005004600,2004600,1976,1.0,"1,900",0.9620000000000001,76,0.038,0,0.0,2.61,516,0.261,"1,187",0.601,53,0.027000000000000003,673,0.341,4,0.002,14,0.006999999999999999,45,0.023,743,1.0,728,0.98,15,0.02
CT2020,Bronx,36005004800,2004800,4184,1.0,"4,021",0.961,163,0.039,0,0.0,3.03,"1,093",0.261,"3,263",0.78,64,0.015,646,0.154,67,0.016,95,0.023,49,0.012,1358,1.0,"1,328",0.978,30,0.022000000000000002
CT2020,Bronx,36005005001,2005001,4960,1.0,"4,793",0.966,167,0.034,0,0.0,3.09,"1,470",0.29600000000000004,"3,463",0.698,81,0.016,"1,191",0.24,95,0.019,68,0.013999999999999999,62,0.013000000000000001,1630,1.0,"1,551",0.9520000000000001,79,0.048
CT2020,Bronx,36005005002,2005002,6518,1.0,"6,090",0.934,428,0.066,0,0.0,3.14,"1,944",0.298,"4,973",0.763,104,0.016,"1,051",0.161,139,0.021,133,0.02,118,0.018000000000000002,2047,1.0,"1,937",0.946,110,0.054000000000000006
CT2020,Bronx,36005005100,2005100,6459,1.0,"6,341",0.982,118,0.018000000000000002,0,0.0,2.61,"1,712",0.265,"3,963",0.614,163,0.025,"2,131",0.33,55,0.009000000000000001,48,0.006999999999999999,99,0.015,2490,1.0,"2,434",0.978,56,0.022000000000000002
CT2020,Bronx,36005005200,2005200,2130,1.0,"2,130",1.0,0,0.0,0,0.0,2.6,549,0.258,"1,483",0.696,20,0.009000000000000001,543,0.255,34,0.016,25,0.012,25,0.012,879,1.0,820,0.9329999999999999,59,0.067
CT2020,Bronx,36005005300,2005300,4371,1.0,"4,371",1.0,0,0.0,0,0.0,2.68,"1,402",0.321,"2,038",0.466,38,0.009000000000000001,"2,092",0.479,12,0.003,50,0.011000000000000001,141,0.032,1662,1.0,"1,628",0.98,34,0.02
CT2020,Bronx,36005005400,2005400,6804,1.0,"6,783",0.997,21,0.003,0,0.0,3.45,"1,875",0.276,"4,750",0.698,81,0.012,"1,282",0.188,370,0.054000000000000006,182,0.027000000000000003,139,0.02,2037,1.0,"1,964",0.9640000000000001,73,0.036000000000000004
CT2020,Bronx,36005005600,2005600,2863,1.0,"2,863",1.0,0,0.0,0,0.0,2.85,720,0.251,"1,958",0.684,30,0.01,618,0.21600000000000003,62,0.022000000000000002,125,0.044000000000000004,70,0.024,1054,1.0,"1,005",0.9540000000000001,49,0.046
CT2020,Bronx,36005005902,2005902,2577,1.0,"2,577",1.0,0,0.0,0,0.0,2.44,497,0.193,"1,641",0.637,224,0.087,592,0.23,37,0.013999999999999999,23,0.009000000000000001,60,0.023,1172,1.0,"1,057",0.902,115,0.098
CT2020,Bronx,36005006000,2006000,1262,1.0,"1,259",0.998,3,0.002,0,0.0,3.09,315,0.25,"1,013",0.8029999999999999,16,0.013000000000000001,196,0.155,11,0.009000000000000001,15,0.012,11,0.009000000000000001,428,1.0,408,0.953,20,0.047
CT2020,Bronx,36005006100,2006100,3444,1.0,"3,440",0.9990000000000001,4,0.001,0,0.0,1.89,474,0.138,708,0.20600000000000002,33,0.01,"2,580",0.7490000000000001,24,0.006999999999999999,18,0.005,81,0.024,1893,1.0,"1,821",0.9620000000000001,72,0.038
CT2020,Bronx,36005006200,2006200,6769,1.0,"6,732",0.995,37,0.005,0,0.0,2.8,"1,842",0.272,"4,455",0.6579999999999999,102,0.015,"1,860",0.275,117,0.017,129,0.019,106,0.016,2471,1.0,"2,403",0.972,68,0.027999999999999997
CT2020,Bronx,36005006301,2006301,6567,1.0,"6,244",0.951,323,0.049,0,0.0,2.59,"1,526",0.23199999999999998,"4,292",0.654,323,0.049,"1,579",0.24,191,0.028999999999999998,63,0.01,119,0.018000000000000002,2498,1.0,"2,414",0.966,84,0.034
CT2020,Bronx,36005006302,2006302,19,1.0,0,0.0,19,1.0,0,0.0,0.0,1,0.053,15,0.789,0,0.0,4,0.21100000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CT2020,Bronx,36005006400,2006400,4186,1.0,"4,160",0.9940000000000001,26,0.006,0,0.0,3.1,990,0.237,"2,227",0.532,106,0.025,"1,225",0.293,312,0.075,185,0.044000000000000004,131,0.031,1438,1.0,"1,341",0.9329999999999999,97,0.067
CT2020,Bronx,36005006500,2006500,6251,1.0,"6,013",0.9620000000000001,238,0.038,36,0.006,2.7,"1,679",0.26899999999999996,"4,045",0.647,225,0.036000000000000004,"1,704",0.273,69,0.011000000000000001,101,0.016,107,0.017,2294,1.0,"2,229",0.972,65,0.027999999999999997
CT2020,Bronx,36005006700,2006700,6893,1.0,"6,749",0.9790000000000001,144,0.021,0,0.0,2.85,"1,823",0.264,"4,895",0.71,117,0.017,"1,687",0.245,52,0.008,69,0.01,73,0.011000000000000001,2439,1.0,"2,365",0.97,74,0.03
CT2020,Bronx,36005006800,2006800,3419,1.0,"3,419",1.0,0,0.0,0,0.0,3.04,902,0.264,"1,899",0.555,60,0.018000000000000002,814,0.23800000000000002,397,0.11599999999999999,149,0.044000000000000004,100,0.028999999999999998,1188,1.0,"1,124",0.946,64,0.054000000000000006
CT2020,Bronx,36005006900,2006900,6964,1.0,"6,845",0.983,119,0.017,0,0.0,2.68,"1,821",0.261,"4,179",0.6,124,0.018000000000000002,"2,440",0.35,72,0.01,49,0.006999999999999999,100,0.013999999999999999,2644,1.0,"2,555",0.966,89,0.034
CT2020,Bronx,36005007000,2007000,5021,1.0,"4,911",0.978,110,0.022000000000000002,0,0.0,3.26,"1,222",0.243,"2,616",0.521,105,0.021,884,0.17600000000000002,"1,051",0.209,217,0.043,148,0.028999999999999998,1605,1.0,"1,508",0.94,97,0.06
CT2020,Bronx,36005007100,2007100,2789,1.0,"2,786",0.9990000000000001,3,0.001,0,0.0,2.49,674,0.242,"1,584",0.568,66,0.024,"1,003",0.36,61,0.022000000000000002,23,0.008,52,0.019,1134,1.0,"1,121",0.9890000000000001,13,0.011000000000000001
CT2020,Bronx,36005007200,2007200,6291,1.0,"6,245",0.993,46,0.006999999999999999,0,0.0,3.26,"1,543",0.245,"2,498",0.397,309,0.049,685,0.109,"2,535",0.40299999999999997,146,0.023,118,0.019,1968,1.0,"1,913",0.972,55,0.027999999999999997
CT2020,Bronx,36005007300,2007300,4205,1.0,"4,053",0.9640000000000001,152,0.036000000000000004,0,0.0,2.82,"1,239",0.295,"2,804",0.667,80,0.019,"1,165",0.27699999999999997,19,0.005,62,0.015,75,0.018000000000000002,1470,1.0,"1,435",0.976,35,0.024
CT2020,Bronx,36005007400,2007400,3536,1.0,"3,536",1.0,0,0.0,0,0.0,2.51,712,0.201,"2,047",0.579,57,0.016,"1,194",0.33799999999999997,132,0.037000000000000005,29,0.008,77,0.022000000000000002,1466,1.0,"1,406",0.9590000000000001,60,0.040999999999999995
CT2020,Bronx,36005007500,2007500,6749,1.0,"6,431",0.953,318,0.047,0,0.0,2.72,"1,814",0.26899999999999996,"4,218",0.625,199,0.028999999999999998,"2,080",0.308,72,0.011000000000000001,75,0.011000000000000001,105,0.016,2422,1.0,"2,363",0.976,59,0.024
CT2020,Bronx,36005007600,2007600,5682,1.0,"5,682",1.0,0,0.0,0,0.0,3.12,"1,439",0.253,"3,588",0.631,170,0.03,946,0.166,697,0.12300000000000001,167,0.028999999999999998,114,0.02,1915,1.0,"1,821",0.951,94,0.049
CT2020,Bronx,36005007700,2007700,1974,1.0,"1,919",0.972,55,0.027999999999999997,0,0.0,3.06,499,0.253,"1,445",0.732,61,0.031,410,0.20800000000000002,14,0.006999999999999999,12,0.006,32,0.016,653,1.0,628,0.9620000000000001,25,0.038
CT2020,Bronx,36005007800,2007800,7037,1.0,"7,016",0.997,21,0.003,0,0.0,3.15,"1,809",0.257,"3,969",0.564,230,0.033,995,0.141,"1,481",0.21,201,0.028999999999999998,161,0.023,2324,1.0,"2,230",0.96,94,0.04
CT2020,Bronx,36005007900,2007900,6826,1.0,"6,665",0.976,161,0.024,0,0.0,2.87,"1,869",0.27399999999999997,"4,889",0.716,101,0.015,"1,622",0.23800000000000002,67,0.01,60,0.009000000000000001,87,0.013000000000000001,2425,1.0,"2,320",0.9570000000000001,105,0.043
CT2020,Bronx,36005008300,2008300,6122,1.0,"5,968",0.975,154,0.025,13,0.002,2.86,"1,614",0.264,"4,849",0.792,72,0.012,"1,048",0.171,48,0.008,52,0.008,53,0.009000000000000001,2161,1.0,"2,084",0.9640000000000001,77,0.036000000000000004
CT2020,Bronx,36005008400,2008400,2587,1.0,"2,574",0.995,13,0.005,13,0.005,3.34,605,0.23399999999999999,"1,439",0.556,33,0.013000000000000001,830,0.321,206,0.08,55,0.021,24,0.009000000000000001,817,1.0,771,0.9440000000000001,46,0.055999999999999994
CT2020,Bronx,36005008500,2008500,5894,1.0,"5,350",0.9079999999999999,544,0.092,0,0.0,2.76,"1,628",0.276,"4,288",0.728,141,0.024,"1,245",0.21100000000000002,59,0.01,70,0.012,91,0.015,2052,1.0,"1,936",0.943,116,0.057
CT2020,Bronx,36005008600,2008600,4145,1.0,"4,141",0.9990000000000001,4,0.001,0,0.0,2.81,"1,048",0.253,"2,457",0.593,35,0.008,"1,401",0.33799999999999997,106,0.026000000000000002,75,0.018000000000000002,71,0.017,1507,1.0,"1,475",0.9790000000000001,32,0.021
CT2020,Bronx,36005008700,2008700,5976,1.0,"5,762",0.9640000000000001,214,0.036000000000000004,109,0.018000000000000002,2.89,"1,604",0.268,"4,334",0.725,84,0.013999999999999999,"1,397",0.23399999999999999,15,0.003,72,0.012,74,0.012,2057,1.0,"1,991",0.968,66,0.032
CT2020,Bronx,36005008900,2008900,3118,1.0,"2,943",0.9440000000000001,175,0.055999999999999994,0,0.0,2.56,727,0.233,"2,371",0.76,88,0.027999999999999997,585,0.188,28,0.009000000000000001,29,0.009000000000000001,17,0.005,1221,1.0,"1,151",0.943,70,0.057
CT2020,Bronx,36005009000,2009000,3911,1.0,"3,668",0.938,243,0.062,0,0.0,2.94,"1,064",0.272,"2,488",0.636,60,0.015,"1,141",0.292,86,0.022000000000000002,75,0.019,61,0.016,1303,1.0,"1,249",0.9590000000000001,54,0.040999999999999995
CT2020,Bronx,36005009200,2009200,6271,1.0,"6,271",1.0,0,0.0,0,0.0,2.96,"1,570",0.25,"3,031",0.483,385,0.061,830,0.132,"1,581",0.252,242,0.039,202,0.032,2200,1.0,"2,121",0.9640000000000001,79,0.036000000000000004
CT2020,Bronx,36005009301,2009301,5551,1.0,"5,445",0.981,106,0.019,6,0.001,3.01,"1,483",0.267,"4,031",0.726,85,0.015,"1,281",0.231,33,0.006,45,0.008,76,0.013999999999999999,1905,1.0,"1,810",0.95,95,0.05
CT2020,Bronx,36005009302,2009302,512,1.0,39,0.076,473,0.924,0,0.0,3.9,25,0.049,195,0.381,32,0.063,263,0.514,14,0.027000000000000003,3,0.006,5,0.01,10,1.0,10,1.0,0,0.0
CT2020,Bronx,36005009600,2009600,2946,1.0,"2,742",0.9309999999999999,204,0.069,204,0.069,3.19,669,0.22699999999999998,"1,451",0.493,191,0.065,392,0.133,690,0.23399999999999999,142,0.048,80,0.027000000000000003,902,1.0,859,0.9520000000000001,43,0.048
CT2020,Bronx,36005009800,2009800,5903,1.0,"5,877",0.996,26,0.004,0,0.0,2.85,"1,254",0.212,"3,638",0.616,171,0.028999999999999998,"1,185",0.201,507,0.086,226,0.038,176,0.03,2123,1.0,"2,060",0.97,63,0.03
CT2020,Bronx,36005011000,2011000,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CT2020,Bronx,36005011502,2011502,4396,1.0,"4,116",0.9359999999999999,280,0.064,0,0.0,2.87,"1,347",0.306,"3,055",0.695,44,0.01,"1,186",0.27,28,0.006,28,0.006,55,0.013000000000000001,1509,1.0,"1,433",0.95,76,0.05
CT2020,Bronx,36005011701,2011701,1554,1.0,"1,538",0.99,16,0.01,0,0.0,2.63,406,0.261,"1,063",0.684,15,0.01,437,0.281,5,0.003,4,0.003,30,0.019,593,1.0,584,0.985,9,0.015
CT2020,Bronx,36005011702,2011702,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CT2020,Bronx,36005011800,2011800,5324,1.0,"4,110",0.772,"1,214",0.228,31,0.006,2.45,776,0.146,"1,511",0.284,"3,338",0.627,148,0.027999999999999997,177,0.033,42,0.008,108,0.02,1794,1.0,"1,676",0.934,118,0.066
CT2020,Bronx,36005011900,2011900,5703,1.0,"5,640",0.9890000000000001,63,0.011000000000000001,22,0.004,2.87,"1,427",0.25,"4,008",0.703,125,0.022000000000000002,"1,429",0.251,25,0.004,50,0.009000000000000001,66,0.012,2038,1.0,"1,962",0.963,76,0.037000000000000005
CT2020,Bronx,36005012101,2012101,3319,1.0,"3,129",0.943,190,0.057,22,0.006999999999999999,3.0,853,0.257,"2,234",0.6729999999999999,53,0.016,909,0.27399999999999997,26,0.008,45,0.013999999999999999,52,0.016,1104,1.0,"1,042",0.9440000000000001,62,0.055999999999999994
CT2020,Bronx,36005012102,2012102,1616,1.0,"1,529",0.946,87,0.054000000000000006,0,0.0,3.01,460,0.285,"1,225",0.758,20,0.012,332,0.205,5,0.003,11,0.006999999999999999,23,0.013999999999999999,532,1.0,508,0.955,24,0.045
CT2020,Bronx,36005012300,2012300,4766,1.0,"4,673",0.98,93,0.02,0,0.0,2.66,"1,275",0.268,"3,126",0.6559999999999999,61,0.013000000000000001,"1,413",0.29600000000000004,37,0.008,55,0.012,74,0.016,1818,1.0,"1,756",0.966,62,0.034
CT2020,Bronx,36005012500,2012500,4139,1.0,"4,021",0.971,118,0.028999999999999998,0,0.0,3.03,"1,180",0.285,"2,608",0.63,75,0.018000000000000002,"1,316",0.318,23,0.006,35,0.008,82,0.02,1421,1.0,"1,326",0.9329999999999999,95,0.067
CT2020,Bronx,36005012701,2012701,2184,1.0,"2,139",0.9790000000000001,45,0.021,0,0.0,2.76,520,0.23800000000000002,"1,567",0.7170000000000001,34,0.016,492,0.225,45,0.021,20,0.009000000000000001,26,0.012,852,1.0,776,0.9109999999999999,76,0.08900000000000001
CT2020,Bronx,36005012901,2012901,4923,1.0,"4,586",0.932,337,0.068,0,0.0,2.6,"1,403",0.285,"3,044",0.618,86,0.017,"1,637",0.33299999999999996,24,0.005,48,0.01,84,0.017,1863,1.0,"1,763",0.946,100,0.054000000000000006
CT2020,Bronx,36005013000,2013000,1198,1.0,"1,198",1.0,0,0.0,0,0.0,2.7,222,0.185,670,0.5589999999999999,349,0.29100000000000004,116,0.09699999999999999,46,0.038,5,0.004,12,0.01,504,1.0,444,0.8809999999999999,60,0.11900000000000001
CT2020,Bronx,36005013100,2013100,5390,1.0,"5,142",0.9540000000000001,248,0.046,0,0.0,2.73,"1,547",0.287,"3,404",0.632,105,0.019,"1,687",0.313,57,0.011000000000000001,63,0.012,74,0.013999999999999999,1948,1.0,"1,886",0.968,62,0.032
CT2020,Bronx,36005013200,2013200,6652,1.0,"6,642",0.998,10,0.002,0,0.0,2.67,"1,298",0.195,"3,764",0.5660000000000001,"1,573",0.23600000000000002,756,0.114,382,0.057,84,0.013000000000000001,93,0.013999999999999999,2646,1.0,"2,484",0.9390000000000001,162,0.061
CT2020,Bronx,36005013300,2013300,6064,1.0,"6,064",1.0,0,0.0,0,0.0,2.67,"1,527",0.252,"3,612",0.596,69,0.011000000000000001,"2,194",0.36200000000000004,32,0.005,58,0.01,99,0.016,2347,1.0,"2,271",0.968,76,0.032
CT2020,Bronx,36005013500,2013500,4001,1.0,"3,908",0.977,93,0.023,0,0.0,2.73,"1,010",0.252,"2,062",0.515,50,0.012,"1,781",0.445,13,0.003,34,0.008,61,0.015,1508,1.0,"1,430",0.948,78,0.052000000000000005
CT2020,Bronx,36005013800,2013800,3060,1.0,"3,060",1.0,0,0.0,0,0.0,2.49,582,0.19,"1,029",0.336,"1,653",0.54,140,0.046,113,0.037000000000000005,50,0.016,75,0.025,1325,1.0,"1,227",0.9259999999999999,98,0.07400000000000001
CT2020,Bronx,36005014100,2014100,7344,1.0,"7,168",0.976,176,0.024,0,0.0,2.57,"2,130",0.29,"3,846",0.524,149,0.02,"3,062",0.41700000000000004,53,0.006999999999999999,82,0.011000000000000001,152,0.021,2977,1.0,"2,790",0.937,187,0.063
CT2020,Bronx,36005014300,2014300,1898,1.0,"1,658",0.8740000000000001,240,0.126,0,0.0,2.21,531,0.28,936,0.493,63,0.033,844,0.445,9,0.005,22,0.012,24,0.013000000000000001,774,1.0,749,0.968,25,0.032
CT2020,Bronx,36005014400,2014400,6046,1.0,"6,032",0.998,14,0.002,0,0.0,2.62,"1,550",0.256,"3,927",0.65,221,0.037000000000000005,"1,641",0.271,123,0.02,63,0.01,71,0.012,2386,1.0,"2,301",0.9640000000000001,85,0.036000000000000004
CT2020,Bronx,36005014500,2014500,7055,1.0,"6,505",0.922,550,0.078,237,0.034,2.79,"2,067",0.293,"3,641",0.516,116,0.016,"3,107",0.44,11,0.002,45,0.006,135,0.019,2406,1.0,"2,331",0.9690000000000001,75,0.031
CT2020,Bronx,36005014701,2014701,6361,1.0,"6,047",0.951,314,0.049,0,0.0,3.0,"1,978",0.311,"3,287",0.517,41,0.006,"2,884",0.45299999999999996,6,0.001,41,0.006,102,0.016,2048,1.0,"2,014",0.983,34,0.017
CT2020,Bronx,36005014702,2014702,5081,1.0,"5,081",1.0,0,0.0,0,0.0,3.08,"1,543",0.304,"2,931",0.5770000000000001,36,0.006999999999999999,"1,985",0.391,6,0.001,45,0.009000000000000001,78,0.015,1668,1.0,"1,648",0.988,20,0.012
CT2020,Bronx,36005014900,2014900,4723,1.0,"4,590",0.972,133,0.027999999999999997,72,0.015,2.7,"1,154",0.244,"2,850",0.603,104,0.022000000000000002,"1,617",0.342,12,0.003,55,0.012,85,0.018000000000000002,1796,1.0,"1,699",0.946,97,0.054000000000000006
CT2020,Bronx,36005015100,2015100,5957,1.0,"5,803",0.9740000000000001,154,0.026000000000000002,0,0.0,2.93,"1,602",0.26899999999999996,"3,164",0.531,123,0.021,"2,512",0.42200000000000004,18,0.003,52,0.009000000000000001,88,0.015,2075,1.0,"1,981",0.955,94,0.045
CT2020,Bronx,36005015200,2015200,2593,1.0,"2,593",1.0,0,0.0,0,0.0,2.73,530,0.204,"1,538",0.593,664,0.256,207,0.08,88,0.034,58,0.022000000000000002,38,0.015,1028,1.0,950,0.924,78,0.076
CT2020,Bronx,36005015300,2015300,4258,1.0,"4,176",0.981,82,0.019,0,0.0,2.69,"1,060",0.249,"2,077",0.488,72,0.017,"1,919",0.451,77,0.018000000000000002,47,0.011000000000000001,66,0.016,1645,1.0,"1,550",0.9420000000000001,95,0.057999999999999996
CT2020,Bronx,36005015500,2015500,2891,1.0,"2,835",0.981,56,0.019,0,0.0,2.71,659,0.228,"2,188",0.757,33,0.011000000000000001,579,0.2,25,0.009000000000000001,21,0.006999999999999999,45,0.016,1101,1.0,"1,045",0.9490000000000001,56,0.051
CT2020,Bronx,36005015700,2015700,5542,1.0,"5,455",0.9840000000000001,87,0.016,0,0.0,2.79,"1,633",0.295,"3,193",0.5760000000000001,78,0.013999999999999999,"2,087",0.377,45,0.008,75,0.013999999999999999,64,0.012,2367,1.0,"1,957",0.8270000000000001,410,0.17300000000000001
CT2020,Bronx,36005015800,2015800,1442,1.0,"1,320",0.915,122,0.085,0,0.0,2.76,260,0.18,775,0.537,513,0.35600000000000004,72,0.05,40,0.027999999999999997,13,0.009000000000000001,29,0.02,521,1.0,479,0.919,42,0.081
CT2020,Bronx,36005015900,2015900,2481,1.0,"2,481",1.0,0,0.0,0,0.0,2.74,640,0.258,"2,054",0.828,23,0.009000000000000001,341,0.13699999999999998,16,0.006,13,0.005,34,0.013999999999999999,914,1.0,906,0.991,8,0.009000000000000001
CT2020,Bronx,36005016000,2016000,4003,1.0,"4,003",1.0,0,0.0,0,0.0,2.52,750,0.187,"1,513",0.37799999999999995,"1,947",0.486,165,0.040999999999999995,219,0.055,88,0.022000000000000002,71,0.018000000000000002,1703,1.0,"1,586",0.9309999999999999,117,0.069
