geotype,borough,geoid,bct2020,pop_20,pop_20p,hhpop_20,hhpop_20p,gq_20,gq_20p,instgq_20,instgq_20p,avhhsz_20,popu18_20,popu18_20p,hsp_20,hsp_20p,wnh_20,wnh_20p,bnh_20,bnh_20p,anh_20,anh_20p,onh_20,onh_20p,nh2pl_20,nh2pl_20p,hunits_20,hunits_20p,ochu_20,ochu_20p,vachu_20,vachu_20p
CT2020,Staten Island,36085000300,5000300,2348,1.0,"2,232",0.951,116,0.049,0,0.0,1.97,393,0.16699999999999998,509,0.217,953,0.406,343,0.146,402,0.171,32,0.013999999999999999,109,0.046,1208,1.0,"1,131",0.9359999999999999,77,0.064
CT2020,Staten Island,36085000600,5000600,2859,1.0,"2,819",0.986,40,0.013999999999999999,0,0.0,2.14,456,0.159,693,0.242,"1,459",0.51,222,0.078,402,0.141,37,0.013000000000000001,46,0.016,1376,1.0,"1,315",0.956,61,0.044000000000000004
CT2020,Staten Island,36085000700,5000700,5143,1.0,"5,063",0.9840000000000001,80,0.016,0,0.0,2.34,"1,180",0.22899999999999998,"1,468",0.285,985,0.192,"2,167",0.42100000000000004,227,0.044000000000000004,71,0.013999999999999999,225,0.044000000000000004,2317,1.0,"2,164",0.934,153,0.066
CT2020,Staten Island,36085000800,5000800,6268,1.0,"6,268",1.0,0,0.0,0,0.0,3.16,"1,390",0.222,"1,868",0.298,"2,404",0.384,261,0.042,"1,531",0.244,76,0.012,128,0.02,2096,1.0,"1,981",0.945,115,0.055
CT2020,Staten Island,36085000900,5000900,2240,1.0,"2,240",1.0,0,0.0,0,0.0,2.79,560,0.25,784,0.35,376,0.168,774,0.34600000000000003,170,0.076,37,0.017,99,0.044000000000000004,908,1.0,802,0.883,106,0.11699999999999999
CT2020,Staten Island,36085001100,5001100,4234,1.0,"4,075",0.9620000000000001,159,0.038,0,0.0,3.03,"1,098",0.259,"1,858",0.439,716,0.16899999999999998,"1,293",0.305,194,0.046,46,0.011000000000000001,127,0.03,1548,1.0,"1,343",0.868,205,0.132
CT2020,Staten Island,36085001700,5001700,1865,1.0,"1,801",0.966,64,0.034,52,0.027999999999999997,2.81,398,0.213,673,0.361,599,0.321,322,0.17300000000000001,195,0.105,20,0.011000000000000001,56,0.03,708,1.0,640,0.904,68,0.096
CT2020,Staten Island,36085001800,5001800,495,1.0,433,0.875,62,0.125,0,0.0,2.76,144,0.29100000000000004,154,0.311,238,0.48100000000000004,40,0.081,15,0.03,9,0.018000000000000002,39,0.079,225,1.0,157,0.698,68,0.302
CT2020,Staten Island,36085002001,5002001,2524,1.0,"2,511",0.995,13,0.005,0,0.0,2.5,408,0.162,452,0.179,"1,525",0.604,74,0.028999999999999998,405,0.16,17,0.006999999999999999,51,0.02,1061,1.0,"1,004",0.946,57,0.054000000000000006
CT2020,Staten Island,36085002002,5002002,3302,1.0,"3,266",0.9890000000000001,36,0.011000000000000001,8,0.002,2.69,614,0.18600000000000003,431,0.131,"2,166",0.6559999999999999,106,0.032,494,0.15,20,0.006,85,0.026000000000000002,1317,1.0,"1,213",0.9209999999999999,104,0.079
CT2020,Staten Island,36085002100,5002100,5467,1.0,"5,297",0.9690000000000001,170,0.031,0,0.0,2.52,"1,197",0.21899999999999997,"2,062",0.377,"1,236",0.226,"1,466",0.268,476,0.087,67,0.012,160,0.028999999999999998,2336,1.0,"2,100",0.899,236,0.10099999999999999
CT2020,Staten Island,36085002700,5002700,2049,1.0,"1,402",0.684,647,0.316,613,0.299,2.88,415,0.203,924,0.451,374,0.183,566,0.276,89,0.043,21,0.01,75,0.037000000000000005,541,1.0,487,0.9,54,0.1
CT2020,Staten Island,36085002900,5002900,6871,1.0,"6,862",0.9990000000000001,9,0.001,0,0.0,3.27,"2,123",0.309,"2,825",0.41100000000000003,417,0.061,"2,837",0.413,494,0.07200000000000001,76,0.011000000000000001,222,0.032,2302,1.0,"2,098",0.9109999999999999,204,0.08900000000000001
CT2020,Staten Island,36085003300,5003300,3738,1.0,"3,728",0.997,10,0.003,0,0.0,2.64,796,0.213,997,0.267,"1,408",0.377,789,0.21100000000000002,348,0.09300000000000001,36,0.01,160,0.043,1508,1.0,"1,410",0.935,98,0.065
