borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
BROOKLYN,3069190,79,POWERS STREET,320910412,11211,2019-06-28,CORPORATION,N,40.712007,-73.948022
BROOKLYN,3131395,1680,58 STREET,321069204,11204,2019-07-01,CORPORATION,N,40.62477,-73.988743
BROOKLYN,3114072,1525,NEW YORK AVENUE,321385443,11210,2019-07-02,CORPORATION,N,40.635492,-73.945008
BROOKLYN,3046265,589,HALSEY STREET,321717004,11233,2019-07-08,PARTNERSHIP,N,40.684255,-73.928616
BROOKLYN,3426533,1527,NEW YORK AVENUE,321385737,11210,2019-07-03,CORPORATION,N,40.635457,-73.945004
BROOKLYN,3426423,1634,CHURCH AVENUE,321831862,11226,2019-07-08,CORPORATION,N,40.648856,-73.964536
BROOKLYN,3414286,1021,BEDFORD AVENUE,321385032,11205,2019-07-10,CORPORATION,N,40.689053,-73.955031
BROOKLYN,3426839,1613,BROOKLYN AVE,321847748,11210,2019-07-11,PARTNERSHIP,N,40.633578,-73.941915
BROOKLYN,3426089,312,BROADWAY,321499936,11211,2019-07-15,INDIVIDUAL,N,40.708338,-73.95768
BROOKLYN,3117321,146,ERASMUS STREET,321798523,11226,2019-07-15,CORPORATION,N,40.649727,-73.950777
BROOKLYN,3327047,96,NEW LOTS AVENUE,321384140,11212,2019-07-15,PARTNERSHIP,N,40.657993,-73.901703
BROOKLYN,3428669,15,JEFFERSON ST,321193169,11206,2019-07-15,INDIVIDUAL,N,40.697445,-73.934794
BROOKLYN,3074693,54,HIMROD ST,321383695,11221,2019-07-15,CORPORATION,N,40.695424,-73.924428
BROOKLYN,3421605,13,JEFFERSON ST,321193150,11206,2019-07-15,INDIVIDUAL,N,40.697406,-73.93483
BROOKLYN,3426463,217,BOERUM STREET,321836055,11206,2019-07-16,PARTNERSHIP,N,40.706258,-73.939218
BROOKLYN,3427242,1163,66TH STREET,322060381,11219,2019-07-18,CORPORATION,N,40.627257,-74.005242
BROOKLYN,3068278,124,WITHERS STREET,321383837,11211,2019-07-18,CORPORATION,N,40.717139,-73.947101
BROOKLYN,3832867,330,ATLANTIC AVE,321195032,11201,2019-07-19,PARTNERSHIP,N,40.688067,-73.98778
BROOKLYN,3421585,263,FRANKLIN AVE,321178319,11205,2019-07-19,CORPORATION,N,40.690407,-73.957212
BROOKLYN,3427205,1470,EASTERN PARKWAY,321692673,11233,2019-07-23,PARTNERSHIP,N,40.669625,-73.919577
BROOKLYN,3017311,560,19TH STREET,321460557,11218,2019-07-24,PARTNERSHIP,N,40.655318,-73.980405
BROOKLYN,3426849,1682,58 STREET,321072691,11204,2019-07-02,CORPORATION,N,40.624756,-73.988717
BROOKLYN,3070952,100,SCHOLES STREET,321615285,11206,2019-07-25,CORPORATION,Y,40.708537,-73.945976
BROOKLYN,3428684,115,CLIFTON PLACE,321836037,11238,2019-07-25,PARTNERSHIP,N,40.688236,-73.959164
BROOKLYN,3427251,271,MCDONALD AVE,321692557,11218,2019-07-25,CORPORATION,N,40.648009,-73.980414
BROOKLYN,3428644,2534,EAST 15TH STREET,321941066,11235,2019-07-25,CORPORATION,N,40.589252,-73.954598
BROOKLYN,3428645,2536,EAST 15TH STREET,321941075,11235,2019-07-25,CORPORATION,N,40.589222,-73.954594
BROOKLYN,3005992,350,BERGEN STREET,320912955,11217,2019-07-25,PARTNERSHIP,N,40.68278,-73.980375
BROOKLYN,3055658,123,CLIFTON PLACE,321836082,11238,2019-07-25,PARTNERSHIP,N,40.688264,-73.958933
BROOKLYN,3428685,119,CLIFTON PLACE,321836046,11238,2019-07-25,PARTNERSHIP,N,40.68825,-73.959049
BROOKLYN,3138167,5122,9TH AVENUE,320993528,11220,2019-07-25,INDIVIDUAL,N,40.638901,-74.002447
BROOKLYN,3426587,2543,W 17 STREET,321756417,11214,2019-07-26,PARTNERSHIP,N,40.585492,-73.986031
BROOKLYN,3187558,2539,W 17 STREET,321756444,11214,2019-07-29,PARTNERSHIP,N,40.585541,-73.986042
BROOKLYN,3426636,256,NORTH 9TH STREET,321386200,11211,2019-07-29,CORPORATION,N,40.716925,-73.953288
BROOKLYN,3000208,36,CHAPEL STREET,321183768,11201,2019-07-30,CORPORATION,N,40.697229,-73.985838
