borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
BROOKLYN,3048270,954,HERKIMER ST,321416080,11233,2017-06-21,CORPORATION,N,40.678125,-73.921986
BROOKLYN,3077905,1143,HANCOCK STREET,321190536,11221,2017-06-23,CORPORATION,Y,40.690343,-73.913047
BROOKLYN,3067332,278,NASSAU AVENUE,321363797,11222,2017-06-26,INDIVIDUAL,N,40.726067,-73.939666
BROOKLYN,3343219,529,PARK PLACE,320908862,11238,2017-06-26,PARTNERSHIP,N,40.675029,-73.960758
BROOKLYN,3422548,984,MADISON STREET,321195844,11221,2017-06-26,CORPORATION,N,40.689126,-73.918897
BROOKLYN,3425914,60,SOUTH 2ND STREET,321189316,11249,2017-06-27,CORPORATION,N,40.714413,-73.96563
BROOKLYN,3413754,5223,3RD AVE,320849409,11220,2017-06-29,INDIVIDUAL,N,40.646374,-74.015902
BROOKLYN,3127808,176,WEBSTER AVENUE,321439591,11230,2017-06-30,INDIVIDUAL,N,40.631333,-73.973938
BROOKLYN,3328072,111,TROUTMAN ST,321407278,11206,2017-07-05,PARTNERSHIP,N,40.699465,-73.929855
BROOKLYN,3024134,578,5 AVE,321185169,11215,2017-07-05,CORPORATION,N,40.66469,-73.990077
BROOKLYN,3140960,5910,11 AVENUE,321521135,11219,2017-07-06,INDIVIDUAL,N,40.631962,-74.00249
BROOKLYN,3140959,5902,11 AVENUE,321543273,11219,2017-07-06,INDIVIDUAL,N,40.631995,-74.002457
BROOKLYN,3424375,5906,11 AVENUE,321537869,11219,2017-07-06,INDIVIDUAL,N,40.631978,-74.002475
BROOKLYN,3421806,2353,CONEY ISLAND AVE,321309124,11223,2017-07-07,PARTNERSHIP,N,40.599561,-73.961271
BROOKLYN,3425885,1721,WEST 6TH STREET,321409418,11223,2017-07-07,CORPORATION,N,40.605492,-73.979188
BROOKLYN,3421805,2349,CONEY ISLAND AVE,321309115,11223,2017-07-07,PARTNERSHIP,N,40.599633,-73.961278
BROOKLYN,3425697,3614,AVENUE P,321528995,11234,2017-07-10,INDIVIDUAL,N,40.616391,-73.938425
BROOKLYN,3031287,906,PROSPECT PLACE,320908167,11213,2017-07-12,CORPORATION,N,40.674104,-73.946415
BROOKLYN,3424924,948,HERKIMER ST,321416071,11233,2017-07-11,CORPORATION,N,40.678133,-73.922173
BROOKLYN,3039666,847,MADISON STREET,321281910,11221,2017-07-13,INDIVIDUAL,N,40.687987,-73.92223
BROOKLYN,3398162,4220,BEACH 42 STREET,320624669,11224,2017-07-14,INDIVIDUAL,N,40.575235,-74.008002
