borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
BRONX,2826970,334,EAST 176TH STREET,210182041,10457,2022-04-27,CORPORATION,Y,40.847527,-73.903028
BRONX,2012657,2008,CROTONA AVENUE,220731420,10457,2022-05-05,CORPORATION,N,40.846933,-73.889836
BRONX,2127288,1336,ELLISON AVENUE,220426448,10461,2019-01-17,INDIVIDUAL,N,40.836944,-73.836009
BRONX,2128739,3590,GREYSTONE AVENUE,220544007,10463,2018-10-23,INDIVIDUAL,N,40.885003,-73.906593
BRONX,2129261,600,EAST 179 STREET,210178403,10457,2019-04-16,CORPORATION,Y,40.847915,-73.892263
BRONX,2018619,3317,PARKSIDE PLACE,220632091,10467,2019-02-27,INDIVIDUAL,N,40.876637,-73.872481
BRONX,2028649,1547,LELAND AVENUE,220623617,10460,2019-02-11,INDIVIDUAL,N,40.83918,-73.864789
BRONX,2096596,2315,TIEMANN AVENUE,220610872,10469,2018-10-26,INDIVIDUAL,N,40.859525,-73.838116
BRONX,2051243,2438,BARKER AVENUE,220589717,10467,2018-10-26,INDIVIDUAL,N,40.862167,-73.869399
BRONX,2128978,3315,PARKSIDE PLACE,220632108,10467,2019-02-27,INDIVIDUAL,N,40.87658,-73.87252
BRONX,2128921,7,ARMAND PLACE,220639030,10463,2018-12-21,INDIVIDUAL,N,40.876649,-73.900686
BRONX,2128835,2445,YOUNG AVENUE,220614565,10469,2019-02-21,CORPORATION,N,40.861858,-73.848243
BRONX,2830635,5104C,POST ROAD,220629112,10471,2018-10-31,INDIVIDUAL,N,40.895985,-73.89802
BRONX,2830634,5104B,POST ROAD,220629103,10471,2018-10-31,INDIVIDUAL,N,40.895985,-73.89802
BRONX,2129125,516,E 147 STREET,220562120,10455,2018-11-01,PARTNERSHIP,N,40.813364,-73.914985
BRONX,2013876,2245,CRESTON AVE,220594257,10453,2018-12-28,INDIVIDUAL,N,40.856814,-73.901521
BRONX,2128983,538,EAST 142 ST,220637167,10454,2018-10-11,CORPORATION,N,40.80991,-73.916297
BRONX,2013282,2064,BOSTON ROAD,210177690,10460,2019-03-13,CORPORATION,Y,40.841762,-73.878688
BRONX,2128732,65,BUCHANAN PLACE,220603746,10453,2019-03-22,PARTNERSHIP,N,40.858508,-73.906547
BRONX,2009903,1893,CROTONA AVE,220632206,10457,2019-03-05,INDIVIDUAL,N,40.844171,-73.892197
BRONX,2058446,842,E 218 STREET,220655529,10467,2019-04-24,INDIVIDUAL,N,40.881538,-73.859033
BRONX,2003157,1182,WOODYCREST,210178074,10452,2019-04-03,CORPORATION,N,40.83644785,-73.92479091080202
BRONX,2130574,1715A,LACOMBE AVENUE,210178635,10473,2020-11-12,NYCHA/HHC,N,40.8152906,-73.8595411
BRONX,2128973,1118,HAVEMEYER AVENUE,210177654,10462,2018-04-05,CORPORATION,Y,40.830617,-73.847563
BRONX,2128766,775,CROTONA PARK NORTH,220152518,10460,2018-01-10,CORPORATION,Y,40.840734,-73.891614
BRONX,2129155,1007,UNION AVENUE,220152689,10459,2020-08-06,CORPORATION,Y,40.824022,-73.901339
BRONX,2127279,710,EAST 221 ST,220492615,10467,2020-07-17,CORPORATION,N,40.884776,-73.861399
BRONX,2127337,960,SIMPSON STREET,220516190,10459,2016-12-21,PARTNERSHIP,N,40.821789,-73.892859
BRONX,2015133,2590,HEATH AVE,220665064,10463,2019-10-07,INDIVIDUAL,N,40.869015,-73.907003
BRONX,2129385,3294,CAMPBELL DRIVE,220687433,10465,2019-06-19,INDIVIDUAL,N,40.838032,-73.818306
