borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
MANHATTAN,1080334,517,WEST 29TH STREET,123440080,10001,2019-12-12,CORPORATION,N,40.751873,-74.002422
MANHATTAN,1090815,225,WEST 28TH STREET,121191049,10001,2019-02-07,CORPORATION,N,40.747629,-73.994265
MANHATTAN,1063664,553,WEST 182 STREET,122860065,10033,2018-10-29,CORPORATION,N,40.849488,-73.932321
MANHATTAN,1053577,26,WEST 127TH STREET,123200311,10027,2018-10-31,CORPORATION,N,40.808136,-73.942344
MANHATTAN,1091568,150,EAST 78TH STREET,121204151,10075,2019-03-27,CORPORATION,N,40.774117,-73.959036
MANHATTAN,1090732,300,EAST 41 STREET,121187759,10017,2018-11-01,CORPORATION,Y,40.749067,-73.972506
MANHATTAN,1090833,251,WEST 14TH STREET,122142127,10011,2018-11-01,PARTNERSHIP,N,40.739167,-74.001119
MANHATTAN,1090804,415,WEST 120TH STREET,121188393,10027,2019-04-12,CORPORATION,N,40.808942,-73.958241
MANHATTAN,1090693,102,CHARLTON STREET,121190139,10014,2019-02-28,PARTNERSHIP,N,40.7274,-74.008168
MANHATTAN,1091580,267,W 126 STREET,121189579,10027,2020-01-27,NYC AGENCY,N,40.810409,-73.949628
MANHATTAN,1047461,109,EAST 79TH STREET,121205187,10075,2020-02-10,CORPORATION,N,40.775421,-73.95997
